epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.6827,0.80886,4.06766,1.1805,0.62168,0.13617,0.29226,0.23953,0.76685,6.51694,1.29435,0.00025382,0.00025382,0.00025382
2,161.456,0.86783,2.94294,1.17139,0.57613,0.46324,0.45765,0.37034,0.81327,4.97636,1.22029,0.000505103,0.000505103,0.000505103
3,224.398,0.88973,2.39525,1.16715,0.53052,0.37595,0.39021,0.29958,0.96704,4.21418,1.44097,0.00075131,0.00075131,0.00075131
4,288.866,0.8996,1.97845,1.16983,0.61338,0.4639,0.51316,0.39709,0.88089,2.78385,1.276,0.000746161,0.000746161,0.000746161
5,353.201,0.89275,1.67587,1.16326,0.64651,0.59146,0.64856,0.50858,0.88296,2.1489,1.28574,0.000738548,0.000738548,0.000738548
6,416.171,0.89343,1.49881,1.16079,0.68109,0.59702,0.66287,0.52354,0.91109,1.88806,1.28541,0.000730935,0.000730935,0.000730935
7,480.102,0.87884,1.37277,1.14952,0.70917,0.58486,0.68171,0.5478,0.86131,1.85754,1.24677,0.000723321,0.000723321,0.000723321
8,545.055,0.87933,1.27498,1.14133,0.76161,0.65699,0.75906,0.6034,0.83217,1.34555,1.21299,0.000715708,0.000715708,0.000715708
9,609.064,0.85672,1.21848,1.13979,0.75408,0.70029,0.78048,0.62712,0.8424,1.26341,1.24607,0.000708095,0.000708095,0.000708095
10,672.868,0.84804,1.16303,1.13724,0.76691,0.6616,0.75113,0.59877,0.87674,1.40195,1.25444,0.000700482,0.000700482,0.000700482
11,738.006,0.85095,1.12433,1.1336,0.77012,0.70332,0.80205,0.65762,0.80026,1.12092,1.17704,0.000692869,0.000692869,0.000692869
12,802.261,0.85182,1.08354,1.13362,0.78521,0.74976,0.83256,0.69714,0.74802,1.11248,1.15719,0.000685256,0.000685256,0.000685256
13,865.791,0.83122,1.04137,1.12211,0.77292,0.69969,0.80263,0.67203,0.74316,1.11204,1.14786,0.000677643,0.000677643,0.000677643
14,929.739,0.83766,1.04143,1.11944,0.82986,0.77162,0.86881,0.73049,0.75606,0.87927,1.13546,0.00067003,0.00067003,0.00067003
15,994.996,0.83562,1.01449,1.12395,0.80388,0.69498,0.81301,0.67917,0.77422,1.09287,1.16529,0.000662417,0.000662417,0.000662417
